XLocation,YLocation,Strength,Goal
187,55,0,False
143,75,-1,False
44,117,1,True
180,263,0,False
84,187,0,False
200,53,0,False
157,157,0,False
56,171,0,True
70,149,0,False
195,254,0,False
69,129,0,False
83,129,0,False
128,86,1,False
67,151,1,False
128,157,1,False
180,244,1,False
94,228,0,False
58,146,0,False
90,118,0,False
177,275,0,False
167,165,0,True
101,132,1,True
149,226,-1,False
87,261,0,False
68,176,0,False
72,111,0,False
133,200,1,False
112,149,1,False
62,166,0,False
92,108,0,False
185,249,0,False
111,169,0,False
155,57,0,False
61,122,0,False
80,133,0,False
59,117,-1,False
82,169,0,False
93,96,0,False
194,139,0,False
116,181,0,False
172,190,0,False
196,81,1,False
86,177,1,False
112,131,0,False
56,211,0,False
75,177,0,False
106,64,1,False
153,238,1,False
77,153,0,False
195,57,0,False
61,153,0,False
255,251,0,False
47,147,0,False
91,188,0,False
111,195,0,True
131,218,1,False
177,237,1,False
95,111,0,False
91,171,0,True
94,128,-1,False
66,114,-1,False
74,182,-1,False
159,256,0,False
96,186,0,False
44,205,0,False
64,246,0,False
144,183,0,False
138,150,0,False
117,212,-1,False
160,162,-1,False
110,162,-1,False
121,67,1,False
88,243,2,False
156,54,1,False
62,180,2,False
96,153,-1,False
71,230,1,False
75,120,0,False
113,40,0,False
115,246,0,False
29,183,0,False
36,120,0,False
74,172,0,False
187,219,1,False
110,166,0,False
90,177,0,False
141,68,-1,False
57,195,1,False
47,110,1,False
70,111,1,True
70,131,0,False
67,149,0,False
140,123,0,True
147,255,1,False
161,98,1,False
181,25,0,False
86,170,-1,True
21,207,0,False
77,209,0,False
116,230,0,False
125,22,0,False
171,35,0,False
139,38,0,False
56,131,0,False
122,155,0,False
151,200,0,False
87,193,0,False
46,189,0,False
73,190,0,False
150,235,0,False
53,96,0,False
68,99,0,False
69,94,0,False
80,128,0,True
167,199,0,False
64,176,0,False
128,281,0,False
114,24,0,False
133,25,0,False
199,245,0,False
79,180,0,False
90,222,0,False
140,149,0,False
139,147,0,True
83,158,0,False
69,153,0,False
134,129,0,False
184,209,0,False
170,131,0,False
167,189,0,False
158,141,0,False
180,214,0,False
111,147,0,False
57,134,0,False
170,103,0,False
83,151,0,True
79,168,0,False
103,158,-1,False
107,131,1,False
136,213,1,False
74,139,1,True
66,117,0,True
50,184,0,False
63,169,0,False
75,175,0,True
76,165,0,False
88,171,0,False
146,189,0,False
252,234,0,True
105,182,0,False
5,209,0,False
14,182,0,False
17,177,0,False
14,173,0,False
11,126,0,False
0,131,0,False
16,131,0,False
14,165,0,False
16,204,0,False
0,123,0,False
112,153,0,False
85,153,0,True
139,135,0,False
155,106,0,False
174,148,1,False
179,195,1,False
142,165,-1,False
76,147,2,False
198,239,1,True
225,93,1,False
86,201,0,False
68,97,0,True
89,129,0,True
125,143,0,False
262,233,0,True
184,117,0,False
100,166,0,True
182,117,0,False
174,165,1,False
188,137,1,False
39,111,0,False
201,160,0,False
244,103,0,False
238,153,0,False
76,160,0,False
28,164,0,False
99,180,0,False
122,87,1,False
162,207,-1,False
133,246,-1,True
128,233,1,False
85,126,0,False
61,165,0,False
38,115,0,False
50,180,0,False
58,61,0,False
57,129,0,False
122,123,0,False
132,189,0,False
49,54,0,True
71,123,0,False
92,75,0,False
57,142,0,False
38,172,0,False
54,133,0,False
83,106,-1,False
50,147,-1,False
203,233,1,False
213,273,0,False
128,244,1,False
98,59,0,False
67,146,1,False
83,182,1,False
112,86,1,False
112,173,1,False
95,56,0,False
73,167,1,False
92,136,1,False
44,225,1,False
46,168,0,False
200,279,0,False
167,45,1,False
200,208,1,False
62,183,-1,False
90,149,-1,True
210,46,0,False
94,189,0,False
48,130,0,False
170,119,0,False
62,153,0,False
98,115,-1,False
112,194,1,False
113,81,0,False
95,103,0,False
120,241,0,False
122,156,0,False
123,225,1,False
213,111,1,False
66,224,1,False
122,133,1,False
100,147,1,False
106,215,0,False
50,138,0,False
121,210,1,True
90,186,1,False
82,153,0,False
98,49,0,False
78,143,0,False
93,259,0,True
92,248,1,False
126,48,0,True
152,31,0,False
159,33,0,False
145,231,0,False
120,261,0,False
61,267,0,False
89,272,0,False
48,242,0,False
142,27,0,False
155,195,0,False
51,196,1,True
89,22,1,False
73,43,0,True
130,123,0,False
178,105,0,False
66,187,0,False
69,47,1,False
200,156,-1,False
129,55,1,False
152,43,1,False
119,12,1,True
231,182,0,False
160,128,-1,False
92,39,1,False
170,245,0,False
98,165,0,False
68,89,0,False
195,169,0,False
177,188,0,False
209,179,0,False
215,124,0,True
206,155,0,False
59,279,1,False
188,200,1,False
45,135,0,True
184,278,1,False
88,149,1,False
79,204,0,False
43,154,0,True
113,71,1,True
80,141,1,False
34,206,1,True
110,178,-1,False
135,147,-1,False
70,161,0,False
88,167,0,False
212,227,1,False
52,134,1,False
255,210,1,False
120,117,1,False
99,62,0,False
96,105,0,False
145,126,0,False
113,141,0,False
88,139,0,False
180,225,0,False
104,195,0,False
123,153,0,False
39,120,0,False
146,167,0,False
248,207,0,False
66,133,1,False
50,229,1,False
156,247,1,False
57,96,0,False
62,89,-1,False
146,266,0,False
81,74,0,False
197,186,0,False
63,153,0,False
92,225,0,False
99,237,0,False
129,34,0,False
208,230,0,False
42,71,0,False
200,48,0,False
62,175,0,False
88,216,0,False
189,96,0,False
188,240,0,False
177,248,0,False
190,208,0,False
99,195,0,False
51,135,0,False
197,187,1,False
76,175,1,False
169,109,0,False
66,207,0,False
153,109,0,False
81,95,0,False
62,171,0,False
121,182,0,False
136,265,0,False
82,168,0,True
182,228,1,False
180,170,1,False
50,141,1,False
91,152,0,False
191,169,1,False
138,72,1,False
103,190,-1,True
191,216,0,False
159,91,0,True
43,132,1,False
130,265,-1,False
83,207,0,False
199,247,0,False
136,67,0,False
200,227,0,False
201,257,0,False
170,60,0,False
20,109,0,True
96,179,0,False
214,218,0,False
98,109,1,False
196,214,1,False
78,69,0,False
157,142,0,False
73,193,1,True
65,92,1,False
185,240,-2,False
65,194,-2,False
58,179,-2,True
215,178,0,False
265,41,0,True
191,197,0,False
245,249,0,False
116,199,0,False
69,220,0,False
126,251,1,False
193,183,1,False
178,189,0,False
93,191,-1,False
156,157,1,False
161,118,0,False
156,237,0,False
150,241,0,False
83,147,0,False
177,279,0,False
172,143,0,False
110,143,0,False
199,140,0,False
186,239,1,False
204,237,1,False
188,155,1,True
155,216,-1,False
166,189,0,False
146,134,0,False
214,183,0,False
168,117,0,False
198,111,0,False
172,86,0,False
211,230,0,False
218,71,0,False
165,45,1,False
156,190,-1,False
195,152,0,False
171,130,0,False
186,110,2,False
161,127,2,True
155,273,0,False
183,229,0,False
77,116,0,True
87,156,0,False
207,25,0,False
104,160,0,False
113,110,0,True
76,171,0,False
204,238,0,False
204,150,0,False
205,180,0,False
171,176,0,False
69,183,1,False
111,192,1,False
212,105,1,False
201,177,1,False
129,129,1,True
146,84,0,False
189,129,0,False
211,235,0,False
147,168,0,False
99,183,0,False
168,63,0,False
60,229,0,False
69,188,0,True
106,124,0,True
159,126,1,False
117,105,1,False
89,110,0,False
126,118,1,False
65,120,-1,True
133,221,0,False
201,73,0,False
51,135,0,False
57,153,0,True
210,255,0,False
57,176,0,False
53,176,0,False
208,237,1,False
146,208,-1,False
54,177,-1,False
93,172,1,False
87,171,1,False
58,130,1,False
54,124,-1,False
49,114,0,False
213,149,0,False
81,153,0,False
198,203,0,False
179,183,0,False
207,197,1,False
158,182,-1,False
109,168,1,False
194,107,1,False
146,111,1,False
61,129,0,False
96,173,0,True
65,155,0,True
202,146,0,False
183,163,0,False
164,220,0,False
61,160,0,False
80,215,0,False
66,139,0,False
68,125,1,False
51,167,1,True
212,216,0,True
70,165,0,False
97,136,0,False
110,248,0,True
75,215,0,False
62,123,0,False
58,171,0,False
84,198,0,False
66,164,0,False
60,166,0,False
75,177,0,False
143,170,0,False
203,199,1,False
76,141,0,False
86,183,0,False
108,154,0,False
144,40,0,False
142,73,1,False
207,128,1,False
76,118,-1,False
53,173,0,False
74,157,0,False
54,166,0,False
77,180,0,True
53,125,0,False
192,224,0,True
114,208,0,True
73,140,0,False
126,196,0,False
111,177,0,False
110,198,0,False
133,151,0,False
119,123,0,False
142,85,0,False
137,165,0,False
111,117,0,False
128,133,0,False
135,117,1,False
71,151,0,True
123,86,0,False
58,129,0,False
80,120,0,True
96,182,0,True
79,128,0,False
82,199,0,True
107,141,0,False
135,160,0,False
110,128,0,False
106,161,0,False
92,87,0,False
168,118,0,False
133,81,1,False
144,233,0,False
101,153,0,False
83,117,0,False
124,172,0,False
113,92,0,False
141,184,0,False
128,105,0,False
110,99,0,False
72,183,0,False
92,203,1,False
122,149,1,True
67,117,0,False
87,150,1,False
177,57,1,False
204,141,1,False
184,138,-1,False
55,174,0,False
267,195,0,False
122,93,0,False
161,131,0,False
79,151,0,False
96,146,0,True
88,117,0,True
209,228,0,False
67,183,0,False
74,107,0,False
82,159,0,False
59,128,0,False
235,198,1,False
122,239,1,False
136,65,1,False
127,123,1,False
93,126,0,False
174,57,0,False
185,269,0,False
93,99,0,False
135,194,0,False
112,275,0,False
68,153,-1,False
116,255,0,False
51,137,0,True
62,72,0,False
177,83,0,False
141,116,0,False
116,57,0,False
81,176,0,False
129,74,0,False
137,213,-1,False
98,212,2,False
157,230,1,False
69,186,0,True
46,200,0,False
122,135,0,False
124,51,0,False
84,184,0,False
137,117,0,False
176,252,0,False
175,191,0,False
45,128,0,False
152,218,0,False
169,176,0,False
34,202,0,True
73,227,0,False
122,242,0,False
112,62,0,False
153,232,0,False
150,179,0,False
68,149,0,False
45,180,0,False
59,138,0,False
69,265,0,False
138,111,0,False
139,28,0,False
158,236,0,False
107,93,0,False
127,241,0,False
93,222,0,False
39,171,0,False
140,151,0,False
141,68,0,False
185,169,0,False
136,176,0,False
170,53,0,False
79,101,0,False
107,203,0,False
90,169,0,False
81,221,0,False
128,222,0,False
183,198,0,False
73,149,0,False
49,151,0,False
108,63,0,False
103,75,0,True
191,272,0,False
45,222,0,False
61,136,0,False
153,258,0,False
202,149,0,False
95,151,0,True
100,137,0,True
57,180,1,True
125,128,-2,False
147,66,2,False
104,144,2,False
181,216,2,False
187,245,1,False
176,153,0,False
188,88,0,False
130,51,0,False
67,121,0,True
62,142,1,True
63,137,0,False
55,153,0,False
75,187,0,False
200,277,0,False
124,143,0,False
188,224,0,False
135,123,0,False
142,206,0,False
88,57,0,False
147,242,0,False
180,41,0,False
117,120,0,False
173,243,0,False
48,127,0,True
172,195,0,False
111,146,0,True
188,249,1,False
122,27,-1,False
65,111,-1,False
53,153,0,False
56,117,0,False
221,278,0,False
219,153,0,False
94,266,-1,False
202,288,1,False
79,167,-1,True
164,200,0,True
212,39,0,False
205,155,0,False
133,108,0,False
50,164,0,False
109,140,1,True
62,147,1,False
99,163,-1,False
146,157,1,False
146,82,0,False
142,59,0,False
59,163,0,False
160,125,0,False
144,91,0,True
68,159,0,False
48,149,0,False
64,143,0,False
89,237,1,False
78,116,0,True
197,139,0,False
167,51,0,False
106,94,0,False
115,179,0,False
123,195,0,False
138,136,0,False
68,160,0,False
143,79,-1,False
197,45,-1,False
86,135,-1,False
166,51,1,False
147,214,0,False
183,217,1,False
139,66,1,False
100,219,1,False
116,67,0,False
156,34,0,False
94,200,1,False
93,113,-1,False
65,124,0,False
55,123,0,False
58,118,0,True
59,92,0,False
68,157,1,False
157,221,0,False
49,123,0,True
118,179,1,True
104,155,1,False
87,149,0,False
116,143,0,False
79,150,1,False
107,141,-1,False
67,213,1,False
83,125,1,False
64,129,1,False
129,141,1,False
112,200,2,True
156,198,0,False
173,163,0,False
133,101,0,False
86,216,0,False
58,103,0,False
56,200,0,False
153,142,0,False
84,93,0,False
121,159,0,False
116,172,0,False
143,166,0,True
123,157,0,False
84,153,0,False
129,134,0,False
75,134,0,False
118,81,0,False
80,160,0,True
91,158,0,False
86,160,0,False
97,165,0,False
86,144,0,False
114,141,0,False
122,153,0,False
107,116,0,False
105,170,0,True
163,114,0,False
122,105,0,False
89,124,1,False
75,142,1,False
113,84,0,False
138,216,0,False
95,218,0,True
62,231,0,False
56,121,0,False
91,113,0,False
187,170,0,False
169,208,0,False
133,121,0,True
179,87,0,False
132,155,0,False
105,176,0,False
162,149,0,False
151,190,0,False
154,178,0,False
171,191,0,False
174,170,0,False
130,227,0,False
183,149,0,False
160,97,0,False
117,243,0,False
94,174,0,False
116,158,0,False
122,183,0,False
133,154,0,True
116,154,0,True
140,146,0,False
128,211,0,False
163,91,0,True
104,137,1,False
95,180,1,False
80,138,0,False
86,195,0,False
98,195,0,False
153,78,0,False
122,131,0,True
80,129,0,False
72,127,0,False
119,208,0,False
47,124,0,False
76,171,1,True
141,231,0,False
177,237,0,False
79,141,0,False
112,193,1,False
88,96,1,False
58,128,0,False
73,163,0,True
54,166,1,False
59,175,1,False
66,169,0,False
201,141,0,False
87,165,0,False
209,47,1,False
48,172,0,False
43,174,0,False
171,133,1,False
92,109,1,False
134,112,2,False
137,73,1,False
106,14,-1,False
45,115,1,False
201,56,-1,False
145,195,-1,False
104,235,0,False
114,54,0,False
68,123,0,False
45,177,0,False
177,246,0,False
131,230,0,False
176,37,0,False
61,159,0,False
128,33,0,False
36,124,1,False
158,215,1,True
78,119,1,False
101,143,1,False
137,200,0,False
92,159,0,False
50,189,0,False
78,198,0,False
116,212,0,False
128,153,0,True
74,104,0,False
72,11,0,False
126,57,0,False
139,15,0,False
104,153,0,True
41,103,0,False
65,145,1,True
117,210,1,False
63,135,1,False
205,278,1,False
69,249,1,False
49,279,1,False
85,110,1,False
167,48,-1,False
186,23,1,False
77,171,1,True
66,163,0,True
141,146,0,False
188,15,0,True
121,243,0,False
153,269,0,False
90,101,0,True
163,187,-1,False
69,163,-1,False
188,102,1,True
128,245,1,False
209,206,0,False
158,198,0,False
47,195,0,False
53,147,0,False
91,156,1,False
68,279,-1,False
76,156,1,True
38,144,0,True
134,273,0,False
129,285,0,False
91,53,2,False
66,58,2,False
107,257,1,False
99,213,0,True
55,145,0,True
164,131,0,False
140,14,0,False
156,89,0,False
162,63,0,False
211,136,1,False
57,161,1,False
72,70,1,False
106,161,1,False
54,105,0,False
117,165,0,True
168,106,-1,False
196,265,-1,False
194,36,0,False
50,111,0,False
178,218,1,True
165,60,1,False
61,132,1,False
47,58,0,False
155,157,-1,False
120,12,0,False
42,120,0,False
52,190,0,False
105,129,0,False
95,201,0,False
54,148,0,False
86,130,0,False
124,105,0,False
186,59,0,False
206,40,0,False
195,177,0,False
105,226,1,True
81,105,1,False
213,265,1,False
89,184,0,False
118,249,0,False
122,195,0,False
39,43,0,False
74,147,0,False
169,177,0,False
188,231,0,False
63,180,0,False
207,93,0,False
51,26,0,False
194,41,0,False
98,171,0,True
277,288,-1,False
207,57,1,False
188,148,1,False
204,144,0,False
64,150,0,False
195,141,1,False
206,81,1,False
77,145,1,False
146,153,1,False
62,152,1,False
184,184,0,False
112,39,0,False
177,33,0,False
142,141,0,False
165,196,1,False
70,86,0,False
108,175,1,False
70,195,0,False
125,133,-1,False
72,183,-1,True
176,165,1,False
175,135,1,False
84,146,1,False
74,205,0,False
119,124,0,False
77,105,0,False
52,133,1,False
62,120,1,True
98,75,0,True
88,155,0,False
71,132,0,False
84,42,0,False
192,190,1,False
55,148,0,False
59,155,0,False
62,158,-1,True
57,136,2,False
106,138,2,False
93,154,1,False
102,157,0,False
149,263,0,False
151,77,0,True
87,207,0,False
250,47,0,False
177,282,0,False
234,273,0,False
60,122,0,False
91,154,0,False
51,159,0,False
200,25,0,False
46,175,0,False
110,85,-1,False
128,245,-1,False
112,217,2,False
81,203,2,True
123,33,1,False
100,84,1,False
205,55,0,False
206,191,0,False
147,87,0,False
58,174,0,False
45,149,0,False
118,138,0,False
98,135,0,False
137,183,0,True
52,259,0,False
66,129,0,False
214,225,0,False
94,90,0,False
198,17,0,False
60,190,0,False
58,132,0,False
171,147,0,False
244,251,0,False
146,83,0,False
151,112,0,False
33,111,0,False
120,209,0,False
123,93,0,False
149,273,0,False
121,79,0,False
157,279,-1,False
98,126,1,False
157,165,1,False
94,149,1,False
153,219,0,False
200,286,0,False
158,187,0,False
149,168,0,False
211,156,0,False
122,248,0,False
140,232,0,False
139,8,0,False
175,128,0,False
131,231,0,False
118,126,0,False
52,172,0,False
135,185,1,False
141,83,1,False
56,202,1,False
48,136,0,False
153,249,0,False
135,149,0,False
161,214,0,False
176,111,1,False
99,127,0,False
153,177,0,False
72,159,0,False
117,183,0,False
98,273,1,False
80,104,-1,False
40,129,1,False
62,150,0,True
185,117,1,False
81,129,1,True
230,201,-1,False
60,125,0,False
84,201,0,False
129,227,0,False
109,43,0,False
100,30,0,False
116,266,0,False
76,177,0,False
116,190,0,False
92,141,0,False
100,130,0,False
127,99,0,False
131,177,1,False
67,117,1,True
240,64,0,False
122,231,0,False
198,221,0,False
72,108,0,False
61,150,1,True
73,22,1,False
128,217,0,False
67,202,0,False
102,147,0,False
146,167,0,False
83,16,0,False
203,37,0,False
50,174,0,False
45,125,0,True
80,161,0,False
92,115,0,False
64,162,0,False
160,80,0,False
99,93,0,False
100,18,0,False
157,146,0,False
83,124,0,False
90,223,0,False
107,110,0,False
147,247,0,False
62,55,2,False
84,93,2,True
139,27,1,False
183,21,0,False
50,159,0,True
75,287,0,False
98,92,0,False
138,57,0,False
84,125,1,False
118,201,1,False
193,233,1,False
89,194,0,False
148,87,0,False
70,184,0,False
60,129,0,False
117,113,0,False
48,155,0,False
99,7,0,False
207,160,0,False
78,162,0,False
116,193,0,False
153,136,0,False
171,101,0,False
110,192,0,False
54,111,0,False
38,126,0,False
140,107,1,False
50,141,0,True
63,148,0,False
70,153,0,False
75,140,0,False
94,171,0,False
155,148,0,False
81,59,0,False
41,46,0,False
140,35,0,False
128,71,-1,False
112,253,1,False
156,109,0,False
73,126,0,False
39,241,0,True
57,145,0,False
51,148,0,False
30,82,0,True
152,256,0,False
123,57,0,False
103,282,0,False
212,195,0,False
49,182,0,True
102,153,0,False
118,99,0,False
69,140,0,False
51,147,0,True
43,151,1,False
57,95,-1,False
136,186,1,False
130,232,0,False
147,168,0,True
85,174,0,False
201,160,1,False
111,61,0,False
44,143,0,True
46,138,0,False
40,79,0,False
133,235,0,False
84,215,0,False
123,69,1,False
77,202,1,False
42,178,0,False
167,88,0,False
205,129,0,False
45,192,0,False
101,285,0,False
75,141,-1,False
69,133,-1,True
140,148,2,False
80,87,2,False
38,117,2,True
204,166,0,False
157,204,0,False
215,132,0,False
61,126,0,False
70,135,0,False
164,153,0,True
98,210,0,False
200,68,0,False
134,130,0,False
167,144,0,True
77,87,0,False
121,80,0,False
148,53,-1,False
147,256,1,False
56,139,1,False
188,197,1,False
50,174,1,False
170,33,1,False
88,98,0,False
51,197,0,False
157,189,0,False
84,120,0,False
200,81,0,False
111,203,0,False
81,201,0,False
263,32,0,False
105,189,0,False
49,116,0,False
93,226,0,False
128,135,0,True
43,212,0,False
56,182,0,False
107,254,0,False
67,90,0,False
109,89,0,False
65,140,0,False
57,151,0,False
195,231,0,True
184,156,0,True
112,61,1,False
128,172,-1,False
148,153,1,True
176,170,-1,False
201,209,-1,False
97,177,0,False
61,162,0,False
147,106,0,False
82,203,0,False
114,149,0,True
110,237,0,False
201,91,0,False
124,105,0,False
187,42,0,False
177,241,0,False
56,148,0,True
203,37,0,False
207,141,0,False
110,152,0,False
98,213,0,True
86,96,1,False
150,216,1,False
141,238,1,False
127,178,0,False
56,201,0,False
57,104,0,False
80,209,0,False
149,148,-1,False
127,14,0,False
125,65,0,False
135,218,0,False
194,48,0,False
57,61,0,False
40,73,0,False
107,217,0,False
103,203,0,False
57,146,0,False
125,238,0,False
86,191,0,True
211,69,1,False
204,183,1,False
208,142,2,False
63,163,1,True
102,168,0,False
154,160,0,False
157,62,-1,False
49,170,1,False
243,99,0,False
212,263,0,False
87,202,1,False
189,33,-1,False
210,103,1,False
204,73,1,False
43,206,0,True
207,231,0,False
185,43,0,False
55,130,0,False
48,185,-1,True
135,113,1,False
92,139,0,False
171,255,0,False
72,173,0,False
283,17,-1,False
82,117,0,False
195,153,0,False
287,284,0,False
220,214,0,False
191,70,0,False
141,191,0,False
51,189,0,False
38,255,0,False
107,154,0,True
52,143,0,True
111,279,0,False
40,125,0,False
156,74,0,False
136,210,0,False
190,25,0,False
134,195,0,False
187,249,0,False
85,52,0,False
157,79,0,False
182,67,0,False
186,54,1,False
74,193,1,False
155,219,0,False
176,165,0,False
143,247,0,False
278,151,0,False
43,152,0,False
92,79,0,False
136,261,0,False
171,187,0,False
172,249,-1,False
160,222,1,False
182,63,1,False
168,69,1,False
127,219,-1,False
84,219,1,False
45,121,1,False
134,90,0,False
92,103,0,False
122,249,0,False
194,54,0,False
74,172,0,False
121,117,0,False
91,177,0,False
69,122,0,True
88,108,0,False
206,104,0,False
40,147,2,False
98,153,-2,False
180,251,0,False
138,198,1,False
69,96,0,False
172,240,0,False
94,216,0,False
102,211,0,False
157,195,0,False
185,104,0,True
53,155,0,False
198,215,1,False
138,135,1,False
47,188,0,False
72,157,0,False
89,207,0,False
173,79,0,False
257,238,0,True
149,57,1,False
63,134,1,False
57,130,1,False
81,55,1,False
206,136,1,False
214,23,0,False
116,24,0,False
69,116,0,False
63,191,0,True
87,93,1,True
80,166,1,True
169,172,0,False
136,149,0,False
156,212,0,False
120,239,0,False
116,191,0,True
122,144,1,True
169,272,0,False
87,142,-1,False
188,231,1,True
208,203,1,False
159,217,1,True
57,128,0,False
99,17,0,False
197,250,0,False
146,39,0,False
123,58,0,False
99,147,0,False
254,183,0,False
198,99,0,False
60,120,0,True
200,145,0,False
56,158,0,True
93,185,0,True
93,162,0,False
87,161,0,False
57,164,0,False
148,64,0,False
198,184,0,False
125,21,0,False
118,119,0,True
80,170,0,True
189,81,1,True
172,106,0,False
159,231,0,False
135,23,0,False
182,28,0,False
129,180,0,False
152,226,1,False
165,230,1,False
162,247,0,False
139,86,0,False
248,157,0,False
176,19,0,False
69,151,1,False
159,69,0,False
87,161,1,True
89,56,0,False
53,126,0,False
70,174,0,False
54,160,0,True
172,269,0,False
91,162,0,False
111,212,0,False
112,30,0,False
159,242,0,False
149,95,0,False
196,145,0,False
47,100,0,False
81,209,0,False
128,86,0,False
150,176,0,False
66,153,0,False
127,30,1,False
115,185,1,False
174,33,-1,False
93,122,-1,False
61,122,0,False
60,119,0,False
125,137,0,False
201,64,1,False
95,89,1,False
123,185,0,False
144,99,0,True
208,122,0,False
132,83,1,False
73,187,-1,False
88,204,0,False
60,154,0,False
66,108,0,False
110,154,0,False
187,129,0,True
207,192,0,False
128,176,0,False
191,151,0,False
94,141,0,False
206,81,0,False
157,113,0,False
196,53,0,False
158,105,1,False
58,195,0,False
145,219,0,False
201,173,1,False
92,183,1,True
116,174,-1,False
105,169,-1,True
46,110,1,True
98,228,0,False
133,75,0,False
131,77,0,False
138,185,0,False
55,124,0,True
123,26,1,False
220,273,-1,False
74,277,0,False
66,105,0,True
56,267,0,False
187,87,0,False
203,147,1,False
103,103,0,False
125,188,1,False
58,219,1,False
98,153,0,False
170,159,0,False
183,63,0,False
175,123,0,False
209,278,0,False
163,164,0,False
234,74,0,False
220,53,0,False
63,192,0,False
128,81,0,False
212,249,0,False
59,143,0,False
219,268,0,False
213,228,0,False
155,232,0,False
186,127,0,False
32,120,0,False
170,120,0,False
99,136,0,True
61,133,1,False
129,124,-1,True
145,251,1,False
139,208,0,False
110,94,0,False
87,96,1,False
153,57,0,False
80,111,-1,False
110,201,1,False
116,54,2,False
94,71,2,False
144,81,0,False
140,95,0,False
116,72,0,False
108,87,0,False
223,58,0,False
250,118,0,False
59,120,0,False
47,67,0,False
56,158,0,False
68,158,0,False
108,200,0,False
79,190,0,True
83,132,1,True
74,150,1,True
47,124,1,False
146,124,0,False
117,110,0,False
128,117,0,False
107,260,0,False
100,264,0,False
90,174,0,False
234,281,0,False
140,81,0,False
63,182,0,False
211,111,1,False
96,78,0,False
78,93,0,False
149,74,0,False
57,112,0,False
199,58,0,False
140,249,0,False
57,156,0,True
162,28,0,False
99,189,0,False
57,167,0,False
96,244,0,False
49,39,0,False
157,237,0,False
77,141,0,False
170,171,0,False
203,231,0,False
178,246,0,False
195,207,0,False
191,160,0,False
48,115,0,False
167,117,0,False
72,150,1,False
67,142,0,False
72,195,0,False
101,167,-1,False
54,135,-1,False
86,172,1,False
108,199,0,False
156,231,0,False
84,134,1,False
40,168,1,False
113,73,1,False
93,252,-1,False
103,224,0,False
67,156,0,True
98,119,0,False
56,132,0,False
51,94,0,False
83,183,0,False
165,86,0,False
109,105,0,False
90,90,0,False
164,182,0,False
103,92,1,False
62,111,1,False
94,53,1,False
131,223,1,False
42,75,0,False
71,189,0,False
64,161,0,False
65,167,0,False
205,40,0,False
154,36,0,False
192,66,1,False
235,145,1,False
274,79,1,False
194,40,0,False
182,50,1,False
139,258,0,False
58,134,0,False
111,266,0,False
83,109,1,False
198,131,1,False
87,22,0,False
204,96,0,False
80,170,0,False
128,127,0,False
134,195,0,False
105,93,0,False
132,26,0,False
206,82,0,False
110,154,0,False
64,201,0,False
130,75,0,False
63,159,0,True
62,114,0,False
41,128,1,False
116,246,-1,False
57,164,1,False
147,278,1,False
110,46,0,False
48,164,1,True
77,117,0,False
165,204,0,False
171,187,0,False
65,153,0,False
159,144,1,False
84,120,1,False
99,210,0,False
119,257,0,False
164,50,0,False
83,101,0,False
84,93,0,False
